,R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR_pct,B_SIG_STR_pct,R_TOTAL_STR.,B_TOTAL_STR.,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,R_HEAD,B_HEAD,R_BODY,B_BODY,R_LEG,B_LEG,R_CLINCH,B_CLINCH,R_GROUND,B_GROUND,win_by,Format,Referee,date,location,Fight_type,Winner,Red_Fighter_Height,Red_Fighter_Weight,Red_Fighter_Reach,Red_Fighter_Stance,Blue_Fighter_Height,Blue_Fighter_Weight,Blue_Fighter_Reach,Blue_Fighter_Stance,Red_Fighter_Age,Blue_Fighter_Age,Blue_wins,Red_wins,Blue_losses,Red_losses,win_by_,Win_Model,R_fighter_,B_fighter_,Referee_,location_,Fight_type_,Format_,Winner_Code
0,Henry Cejudo,Marlon Moraes,0,0,0.52,0.47,0.54,0.49,0.25,0.0,1,0,1,0,0,0,0.49,0.39,0.81,0.88,0.8,0.68,0.83,1.0,0.87,1.0,KO/TKO,5 Rnd (5-5-5-5-5),Marc Goddard,2019-06-08,"Chicago, Illinois, USA",UFC Bantamweight Title Bout,Henry Cejudo,162.56,61.23,162.56,2,167.64,61.23,170.18,2,32,31,4,8,1,2,1,0,468,1112,115,37,29,15,455
1,Valentina Shevchenko,Jessica Eye,1,0,0.72,0.16,0.93,0.81,1.0,0.0,1,0,3,0,0,0,0.8,0.0,0.67,0.0,0.0,0.67,1.0,0.0,1.0,0.0,KO/TKO,5 Rnd (5-5-5-5-5),Robert Madrigal,2019-06-08,"Chicago, Illinois, USA",UFC Women's Flyweight Title Bout,Valentina Shevchenko,165.1,56.7,167.64,4,167.64,56.7,167.64,2,31,32,4,5,6,2,1,0,1253,766,158,37,47,15,1205
3,Jimmie Rivera,Petr Yan,0,2,0.38,0.29,0.39,0.3,0.0,0.33,0,0,0,1,0,0,0.29,0.24,0.62,0.68,0.7,0.75,0.6,0.83,1.0,0.4,Decision - Unanimous,3 Rnd (5-5-5),Kevin MacDonald,2019-06-08,"Chicago, Illinois, USA",Bantamweight Bout,Petr Yan,162.56,61.23,172.72,2,170.18,61.23,170.18,3,29,26,4,6,0,2,3,1,573,1317,98,37,0,13,958
4,Tai Tuivasa,Blagoy Ivanov,0,1,0.44,0.59,0.45,0.62,0.0,1.0,0,0,0,0,0,0,0.34,0.57,0.86,0.88,0.83,1.0,0.78,0.83,0.0,1.0,Decision - Unanimous,3 Rnd (5-5-5),Dan Miragliotta,2019-06-08,"Chicago, Illinois, USA",Heavyweight Bout,Blagoy Ivanov,187.96,119.75,190.5,4,180.34,113.4,185.42,4,26,32,1,3,1,1,3,1,1183,171,31,37,4,13,118
6,Aljamain Sterling,Pedro Munhoz,0,0,0.49,0.39,0.5,0.4,0.0,0.0,0,0,0,0,0,0,0.49,0.28,0.49,0.45,0.58,0.76,0.18,0.38,0.0,0.0,Decision - Unanimous,3 Rnd (5-5-5),Marc Goddard,2019-06-08,"Chicago, Illinois, USA",Bantamweight Bout,Aljamain Sterling,170.18,61.23,180.34,2,167.64,61.23,165.1,2,29,32,8,9,4,3,3,0,52,1309,115,37,0,13,50
7,Karolina Kowalkiewicz,Alexa Grasso,0,0,0.38,0.4,0.39,0.42,0.0,0.0,0,1,0,0,0,0,0.3,0.32,0.82,0.72,0.62,0.68,0.73,0.83,0.0,0.0,Decision - Unanimous,3 Rnd (5-5-5),Kevin MacDonald,2019-06-08,"Chicago, Illinois, USA",Women's Strawweight Bout,Alexa Grasso,160.02,52.16,162.56,2,165.1,52.16,167.64,2,33,25,2,5,2,4,3,1,693,54,98,37,110,13,39
8,Ricardo Lamas,Calvin Kattar,0,1,0.41,0.53,0.41,0.54,0.0,0.0,0,0,0,0,0,0,0.17,0.39,0.8,0.85,0.5,0.0,0.0,1.0,0.0,0.8,KO/TKO,3 Rnd (5-5-5),Dan Miragliotta,2019-06-08,"Chicago, Illinois, USA",Featherweight Bout,Calvin Kattar,172.72,65.77,180.34,2,180.34,65.77,182.88,2,37,31,3,10,1,5,1,1,1039,232,31,37,2,13,157
9,Yan Xiaonan,Angela Hill,0,0,0.37,0.49,0.4,0.52,1.0,0.33,0,1,1,0,0,0,0.32,0.4,0.5,0.81,0.68,0.75,0.47,0.87,1.0,1.0,Decision - Unanimous,3 Rnd (5-5-5),Robert Madrigal,2019-06-08,"Chicago, Illinois, USA",Women's Strawweight Bout,Yan Xiaonan,165.1,52.16,160.02,2,160.02,52.16,162.56,2,29,34,4,3,6,0,3,0,1290,103,158,37,110,13,1238
10,Bevon Lewis,Darren Stewart,0,0,0.36,0.41,0.46,0.48,0.0,0.0,0,0,0,0,0,0,0.27,0.21,0.52,0.83,0.5,0.93,0.73,0.67,0.0,0.0,Decision - Unanimous,3 Rnd (5-5-5),Marc Goddard,2019-06-08,"Chicago, Illinois, USA",Middleweight Bout,Darren Stewart,190.5,83.91,200.66,2,182.88,83.91,187.96,2,28,28,2,0,5,1,3,1,124,399,115,37,7,13,276
11,Eddie Wineland,Grigorii Popov,2,0,0.43,0.36,0.43,0.37,0.0,0.0,0,0,0,0,0,0,0.37,0.25,0.59,0.51,1.0,0.79,0.0,0.75,0.8,0.0,KO/TKO,3 Rnd (5-5-5),Kevin MacDonald,2019-06-08,"Chicago, Illinois, USA",Bantamweight Bout,Eddie Wineland,170.18,61.23,175.26,2,170.18,61.23,172.72,3,34,35,0,5,0,7,1,0,362,612,98,37,0,13,345
12,Katlyn Chookagian,Joanne Calderwood,0,0,0.37,0.42,0.43,0.47,0.0,0.75,0,0,0,0,0,0,0.28,0.17,0.74,0.47,0.8,0.79,0.6,0.58,1.0,0.5,Decision - Unanimous,3 Rnd (5-5-5),Dan Miragliotta,2019-06-08,"Chicago, Illinois, USA",Women's Flyweight Bout,Katlyn Chookagian,175.26,56.7,172.72,2,167.64,56.7,165.1,2,30,33,5,4,3,2,3,0,694,785,31,37,109,13,660
13,Alexander Gustafsson,Anthony Smith,0,0,0.47,0.47,0.48,0.48,0.33,0.0,0,1,1,1,0,0,0.33,0.31,0.38,0.58,0.75,0.83,0.0,0.0,0.67,1.0,Submission,5 Rnd (5-5-5-5-5),Marc Goddard,2019-06-01,"Stockholm, Sweden",Light Heavyweight Bout,Anthony Smith,195.58,92.99,200.66,2,193.04,92.99,193.04,2,32,30,7,10,4,5,4,1,41,118,115,140,5,15,81
14,Jimi Manuwa,Aleksandar Rakic,0,1,0.66,0.28,0.67,0.29,0.0,0.0,0,0,0,0,0,0,0.5,0.2,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,KO/TKO,3 Rnd (5-5-5),Kevin Sataki,2019-06-01,"Stockholm, Sweden",Light Heavyweight Bout,Aleksandar Rakic,185.42,92.99,200.66,2,193.04,92.99,198.12,2,39,27,3,6,0,5,1,1,572,31,101,140,5,13,24
15,Makwan Amirkhani,Chris Fishgold,0,0,0.33,0.3,0.5,0.31,0.5,0.0,1,0,2,0,0,0,0.29,0.13,0.33,0.6,0.67,0.53,0.0,0.0,0.75,0.0,Submission,3 Rnd (5-5-5),Marc Goddard,2019-06-01,"Stockholm, Sweden",Featherweight Bout,Makwan Amirkhani,177.8,65.77,182.88,4,172.72,65.77,172.72,2,30,26,1,4,1,1,4,0,797,280,115,140,2,13,759
16,Damir Hadzovic,Christos Giagos,0,0,0.39,0.41,0.48,0.48,1.0,0.46,0,0,0,3,0,0,0.42,0.31,0.25,0.75,1.0,1.0,0.83,0.6,0.5,0.25,Decision - Unanimous,3 Rnd (5-5-5),Rich Mitchell,2019-06-01,"Stockholm, Sweden",Lightweight Bout,Christos Giagos,175.26,70.31,177.8,2,177.8,70.31,180.34,2,32,29,2,3,3,2,3,1,265,303,152,140,6,13,205
17,Daniel Teymur,Sung Bin Jo,0,0,0.48,0.33,0.53,0.35,0.16,0.33,0,1,0,0,0,0,0.42,0.25,0.83,0.78,0.54,1.0,0.73,0.8,0.53,1.0,Decision - Unanimous,3 Rnd (5-5-5),Rebin Saber,2019-06-01,"Stockholm, Sweden",Featherweight Bout,Daniel Teymur,165.1,65.77,175.26,2,182.88,65.77,182.88,2,31,26,0,0,0,3,3,0,284,1570,151,140,2,13,266
